1996,4
1997,491
1998,3544
1999,9305
2000,18620
2001,46557
2002,39827
2003,47157
2004,51687
2005,23270
2006,2755
2007,123798
2008,58884
2009,52767
2010,53146
2011,52904
2012,54056
2013,55935
2014,19761
